TransactionID,Product,Ingredients
13,Apple Cider Vinegar,"Apple, Fermented"
14,Turmeric Tea,"Turmeric, Pepper, Ginger"
14,Granola Clusters,"Oats, Nuts, Honey"
14,Maca Root Capsules,Maca
14,Chia Seeds,Chia
14,Apple Cider Vinegar,"Apple, Fermented"
15,Granola Clusters,"Oats, Nuts, Honey"
15,Reishi Coffee,"Coffee, Reishi Mushroom"
15,Magnesium Gummies,"Magnesium, Citrus, Pectin"
16,Vegan Jerky,"Soy, Spices"
16,Reishi Coffee,"Coffee, Reishi Mushroom"
16,Flax Crackers,"Flax, Salt"
16,Kombucha,"Tea, Sugar, Probiotics"
17,Apple Cider Vinegar,"Apple, Fermented"
17,Flax Crackers,"Flax, Salt"
17,Vegan Jerky,"Soy, Spices"
17,Granola Clusters,"Oats, Nuts, Honey"
17,Reishi Coffee,"Coffee, Reishi Mushroom"
18,Protein Bar,"Pea Protein, Dates, Cocoa"
18,Reishi Coffee,"Coffee, Reishi Mushroom"
18,Chia Seeds,Chia
18,Flax Crackers,"Flax, Salt"
19,Coconut Water,Coconut
19,Maca Root Capsules,Maca
19,Chia Seeds,Chia
20,Elderberry Syrup,"Elderberry, Honey, Ginger"
20,Reishi Coffee,"Coffee, Reishi Mushroom"
21,Apple Cider Vinegar,"Apple, Fermented"
21,Flax Crackers,"Flax, Salt"
21,Maca Root Capsules,Maca
21,Granola Clusters,"Oats, Nuts, Honey"
21,Ashwagandha Drops,"Ashwagandha, Alcohol"
22,Protein Bar,"Pea Protein, Dates, Cocoa"
22,Elderberry Syrup,"Elderberry, Honey, Ginger"
22,Ashwagandha Drops,"Ashwagandha, Alcohol"
22,Granola Clusters,"Oats, Nuts, Honey"
22,Apple Cider Vinegar,"Apple, Fermented"
23,Matcha Powder,Green Tea
23,Kombucha,"Tea, Sugar, Probiotics"
23,Elderberry Syrup,"Elderberry, Honey, Ginger"
23,Vegan Jerky,"Soy, Spices"
23,Maca Root Capsules,Maca
24,Magnesium Gummies,"Magnesium, Citrus, Pectin"
24,Protein Bar,"Pea Protein, Dates, Cocoa"
24,Elderberry Syrup,"Elderberry, Honey, Ginger"
25,Granola Clusters,"Oats, Nuts, Honey"
25,Elderberry Syrup,"Elderberry, Honey, Ginger"
25,Matcha Powder,Green Tea
26,Vegan Jerky,"Soy, Spices"
26,Reishi Coffee,"Coffee, Reishi Mushroom"
27,Chia Seeds,Chia
27,Matcha Powder,Green Tea
27,Vegan Jerky,"Soy, Spices"
28,Protein Bar,"Pea Protein, Dates, Cocoa"
28,Reishi Coffee,"Coffee, Reishi Mushroom"
28,Kombucha,"Tea, Sugar, Probiotics"
28,Coconut Water,Coconut
29,Chia Seeds,Chia
29,Reishi Coffee,"Coffee, Reishi Mushroom"
30,Vegan Jerky,"Soy, Spices"
30,Chia Seeds,Chia
30,Maca Root Capsules,Maca
31,Vegan Jerky,"Soy, Spices"
31,Elderberry Syrup,"Elderberry, Honey, Ginger"
31,Kombucha,"Tea, Sugar, Probiotics"
31,Apple Cider Vinegar,"Apple, Fermented"
31,Turmeric Tea,"Turmeric, Pepper, Ginger"
32,Matcha Powder,Green Tea
32,Maca Root Capsules,Maca
32,Reishi Coffee,"Coffee, Reishi Mushroom"
32,Protein Bar,"Pea Protein, Dates, Cocoa"
32,Magnesium Gummies,"Magnesium, Citrus, Pectin"
33,Magnesium Gummies,"Magnesium, Citrus, Pectin"
33,Turmeric Tea,"Turmeric, Pepper, Ginger"
34,Matcha Powder,Green Tea
34,Magnesium Gummies,"Magnesium, Citrus, Pectin"
35,Protein Bar,"Pea Protein, Dates, Cocoa"
35,Vegan Jerky,"Soy, Spices"
36,Granola Clusters,"Oats, Nuts, Honey"
36,Vegan Jerky,"Soy, Spices"
36,Magnesium Gummies,"Magnesium, Citrus, Pectin"
37,Ashwagandha Drops,"Ashwagandha, Alcohol"
37,Flax Crackers,"Flax, Salt"
38,Reishi Coffee,"Coffee, Reishi Mushroom"
38,Chia Seeds,Chia
39,Coconut Water,Coconut
39,Protein Bar,"Pea Protein, Dates, Cocoa"
39,Kombucha,"Tea, Sugar, Probiotics"
40,Maca Root Capsules,Maca
40,Protein Bar,"Pea Protein, Dates, Cocoa"
40,Elderberry Syrup,"Elderberry, Honey, Ginger"
40,Coconut Water,Coconut
40,Granola Clusters,"Oats, Nuts, Honey"
41,Matcha Powder,Green Tea
41,Magnesium Gummies,"Magnesium, Citrus, Pectin"
41,Elderberry Syrup,"Elderberry, Honey, Ginger"
41,Flax Crackers,"Flax, Salt"
42,Elderberry Syrup,"Elderberry, Honey, Ginger"
42,Granola Clusters,"Oats, Nuts, Honey"
42,Ashwagandha Drops,"Ashwagandha, Alcohol"
42,Vegan Jerky,"Soy, Spices"
42,Maca Root Capsules,Maca
43,Elderberry Syrup,"Elderberry, Honey, Ginger"
43,Maca Root Capsules,Maca
43,Protein Bar,"Pea Protein, Dates, Cocoa"
43,Granola Clusters,"Oats, Nuts, Honey"
43,Magnesium Gummies,"Magnesium, Citrus, Pectin"
44,Vegan Jerky,"Soy, Spices"
44,Kombucha,"Tea, Sugar, Probiotics"
44,Matcha Powder,Green Tea
44,Turmeric Tea,"Turmeric, Pepper, Ginger"
44,Maca Root Capsules,Maca
45,Turmeric Tea,"Turmeric, Pepper, Ginger"
45,Flax Crackers,"Flax, Salt"
45,Ashwagandha Drops,"Ashwagandha, Alcohol"
45,Matcha Powder,Green Tea
46,Flax Crackers,"Flax, Salt"
46,Granola Clusters,"Oats, Nuts, Honey"
46,Magnesium Gummies,"Magnesium, Citrus, Pectin"
47,Reishi Coffee,"Coffee, Reishi Mushroom"
47,Kombucha,"Tea, Sugar, Probiotics"
48,Protein Bar,"Pea Protein, Dates, Cocoa"
48,Reishi Coffee,"Coffee, Reishi Mushroom"
49,Granola Clusters,"Oats, Nuts, Honey"
49,Turmeric Tea,"Turmeric, Pepper, Ginger"
49,Coconut Water,Coconut
49,Reishi Coffee,"Coffee, Reishi Mushroom"
50,Maca Root Capsules,Maca
50,Granola Clusters,"Oats, Nuts, Honey"
50,Ashwagandha Drops,"Ashwagandha, Alcohol"
50,Vegan Jerky,"Soy, Spices"
51,Vegan Jerky,"Soy, Spices"
51,Magnesium Gummies,"Magnesium, Citrus, Pectin"
51,Flax Crackers,"Flax, Salt"
52,Protein Bar,"Pea Protein, Dates, Cocoa"
52,Turmeric Tea,"Turmeric, Pepper, Ginger"
52,Kombucha,"Tea, Sugar, Probiotics"
52,Ashwagandha Drops,"Ashwagandha, Alcohol"
52,Granola Clusters,"Oats, Nuts, Honey"
53,Granola Clusters,"Oats, Nuts, Honey"
53,Reishi Coffee,"Coffee, Reishi Mushroom"
53,Turmeric Tea,"Turmeric, Pepper, Ginger"
53,Elderberry Syrup,"Elderberry, Honey, Ginger"
53,Ashwagandha Drops,"Ashwagandha, Alcohol"
54,Matcha Powder,Green Tea
54,Granola Clusters,"Oats, Nuts, Honey"
54,Maca Root Capsules,Maca
55,Vegan Jerky,"Soy, Spices"
55,Flax Crackers,"Flax, Salt"
56,Elderberry Syrup,"Elderberry, Honey, Ginger"
56,Matcha Powder,Green Tea
57,Vegan Jerky,"Soy, Spices"
57,Matcha Powder,Green Tea
58,Chia Seeds,Chia
58,Matcha Powder,Green Tea
59,Flax Crackers,"Flax, Salt"
59,Apple Cider Vinegar,"Apple, Fermented"
59,Matcha Powder,Green Tea
59,Vegan Jerky,"Soy, Spices"
59,Turmeric Tea,"Turmeric, Pepper, Ginger"
60,Magnesium Gummies,"Magnesium, Citrus, Pectin"
60,Flax Crackers,"Flax, Salt"
60,Chia Seeds,Chia
60,Vegan Jerky,"Soy, Spices"
60,Kombucha,"Tea, Sugar, Probiotics"
61,Coconut Water,Coconut
61,Flax Crackers,"Flax, Salt"
61,Vegan Jerky,"Soy, Spices"
61,Protein Bar,"Pea Protein, Dates, Cocoa"
62,Apple Cider Vinegar,"Apple, Fermented"
62,Maca Root Capsules,Maca
62,Reishi Coffee,"Coffee, Reishi Mushroom"
62,Coconut Water,Coconut
62,Matcha Powder,Green Tea
63,Magnesium Gummies,"Magnesium, Citrus, Pectin"
63,Granola Clusters,"Oats, Nuts, Honey"
63,Kombucha,"Tea, Sugar, Probiotics"
63,Protein Bar,"Pea Protein, Dates, Cocoa"
63,Matcha Powder,Green Tea
64,Vegan Jerky,"Soy, Spices"
64,Matcha Powder,Green Tea
65,Elderberry Syrup,"Elderberry, Honey, Ginger"
65,Granola Clusters,"Oats, Nuts, Honey"
65,Ashwagandha Drops,"Ashwagandha, Alcohol"
65,Reishi Coffee,"Coffee, Reishi Mushroom"
66,Coconut Water,Coconut
66,Kombucha,"Tea, Sugar, Probiotics"
66,Flax Crackers,"Flax, Salt"
66,Matcha Powder,Green Tea
67,Ashwagandha Drops,"Ashwagandha, Alcohol"
67,Magnesium Gummies,"Magnesium, Citrus, Pectin"
67,Flax Crackers,"Flax, Salt"
67,Matcha Powder,Green Tea
68,Chia Seeds,Chia
68,Flax Crackers,"Flax, Salt"
69,Magnesium Gummies,"Magnesium, Citrus, Pectin"
69,Granola Clusters,"Oats, Nuts, Honey"
69,Ashwagandha Drops,"Ashwagandha, Alcohol"
69,Coconut Water,Coconut
70,Apple Cider Vinegar,"Apple, Fermented"
70,Granola Clusters,"Oats, Nuts, Honey"
70,Turmeric Tea,"Turmeric, Pepper, Ginger"
70,Elderberry Syrup,"Elderberry, Honey, Ginger"
70,Matcha Powder,Green Tea
71,Kombucha,"Tea, Sugar, Probiotics"
71,Reishi Coffee,"Coffee, Reishi Mushroom"
71,Maca Root Capsules,Maca
72,Matcha Powder,Green Tea
72,Chia Seeds,Chia
72,Flax Crackers,"Flax, Salt"
72,Coconut Water,Coconut
73,Chia Seeds,Chia
73,Coconut Water,Coconut
74,Magnesium Gummies,"Magnesium, Citrus, Pectin"
74,Maca Root Capsules,Maca
74,Vegan Jerky,"Soy, Spices"
75,Maca Root Capsules,Maca
75,Granola Clusters,"Oats, Nuts, Honey"
75,Apple Cider Vinegar,"Apple, Fermented"
76,Granola Clusters,"Oats, Nuts, Honey"
76,Coconut Water,Coconut
77,Kombucha,"Tea, Sugar, Probiotics"
77,Granola Clusters,"Oats, Nuts, Honey"
77,Matcha Powder,Green Tea
77,Elderberry Syrup,"Elderberry, Honey, Ginger"
77,Protein Bar,"Pea Protein, Dates, Cocoa"
78,Matcha Powder,Green Tea
78,Maca Root Capsules,Maca
78,Kombucha,"Tea, Sugar, Probiotics"
78,Coconut Water,Coconut
78,Chia Seeds,Chia
79,Apple Cider Vinegar,"Apple, Fermented"
79,Coconut Water,Coconut
79,Matcha Powder,Green Tea
79,Flax Crackers,"Flax, Salt"
80,Elderberry Syrup,"Elderberry, Honey, Ginger"
80,Ashwagandha Drops,"Ashwagandha, Alcohol"
80,Magnesium Gummies,"Magnesium, Citrus, Pectin"
80,Protein Bar,"Pea Protein, Dates, Cocoa"
81,Maca Root Capsules,Maca
81,Reishi Coffee,"Coffee, Reishi Mushroom"
81,Flax Crackers,"Flax, Salt"
81,Vegan Jerky,"Soy, Spices"
82,Coconut Water,Coconut
82,Kombucha,"Tea, Sugar, Probiotics"
83,Reishi Coffee,"Coffee, Reishi Mushroom"
83,Kombucha,"Tea, Sugar, Probiotics"
83,Magnesium Gummies,"Magnesium, Citrus, Pectin"
83,Ashwagandha Drops,"Ashwagandha, Alcohol"
84,Granola Clusters,"Oats, Nuts, Honey"
84,Protein Bar,"Pea Protein, Dates, Cocoa"
84,Turmeric Tea,"Turmeric, Pepper, Ginger"
84,Flax Crackers,"Flax, Salt"
84,Maca Root Capsules,Maca
85,Maca Root Capsules,Maca
85,Ashwagandha Drops,"Ashwagandha, Alcohol"
86,Matcha Powder,Green Tea
86,Apple Cider Vinegar,"Apple, Fermented"
86,Elderberry Syrup,"Elderberry, Honey, Ginger"
87,Coconut Water,Coconut
87,Kombucha,"Tea, Sugar, Probiotics"
88,Elderberry Syrup,"Elderberry, Honey, Ginger"
88,Flax Crackers,"Flax, Salt"
88,Magnesium Gummies,"Magnesium, Citrus, Pectin"
88,Apple Cider Vinegar,"Apple, Fermented"
88,Chia Seeds,Chia
89,Flax Crackers,"Flax, Salt"
89,Turmeric Tea,"Turmeric, Pepper, Ginger"
90,Elderberry Syrup,"Elderberry, Honey, Ginger"
90,Protein Bar,"Pea Protein, Dates, Cocoa"
90,Matcha Powder,Green Tea
90,Apple Cider Vinegar,"Apple, Fermented"
90,Chia Seeds,Chia
91,Coconut Water,Coconut
91,Reishi Coffee,"Coffee, Reishi Mushroom"
91,Granola Clusters,"Oats, Nuts, Honey"
92,Chia Seeds,Chia
92,Coconut Water,Coconut
92,Flax Crackers,"Flax, Salt"
92,Magnesium Gummies,"Magnesium, Citrus, Pectin"
93,Protein Bar,"Pea Protein, Dates, Cocoa"
93,Coconut Water,Coconut
93,Reishi Coffee,"Coffee, Reishi Mushroom"
93,Matcha Powder,Green Tea
93,Chia Seeds,Chia
94,Reishi Coffee,"Coffee, Reishi Mushroom"
94,Apple Cider Vinegar,"Apple, Fermented"
94,Maca Root Capsules,Maca
94,Matcha Powder,Green Tea
95,Matcha Powder,Green Tea
95,Flax Crackers,"Flax, Salt"
96,Vegan Jerky,"Soy, Spices"
96,Magnesium Gummies,"Magnesium, Citrus, Pectin"
96,Flax Crackers,"Flax, Salt"
97,Granola Clusters,"Oats, Nuts, Honey"
97,Vegan Jerky,"Soy, Spices"
97,Maca Root Capsules,Maca
97,Reishi Coffee,"Coffee, Reishi Mushroom"
97,Coconut Water,Coconut
98,Protein Bar,"Pea Protein, Dates, Cocoa"
98,Apple Cider Vinegar,"Apple, Fermented"
98,Matcha Powder,Green Tea
98,Coconut Water,Coconut
98,Flax Crackers,"Flax, Salt"
99,Reishi Coffee,"Coffee, Reishi Mushroom"
99,Turmeric Tea,"Turmeric, Pepper, Ginger"
100,Ashwagandha Drops,"Ashwagandha, Alcohol"
100,Vegan Jerky,"Soy, Spices"
101,Turmeric Tea,"Turmeric, Pepper, Ginger"
101,Coconut Water,Coconut
102,Protein Bar,"Pea Protein, Dates, Cocoa"
102,Elderberry Syrup,"Elderberry, Honey, Ginger"
103,Apple Cider Vinegar,"Apple, Fermented"
103,Magnesium Gummies,"Magnesium, Citrus, Pectin"
103,Maca Root Capsules,Maca
104,Ashwagandha Drops,"Ashwagandha, Alcohol"
104,Turmeric Tea,"Turmeric, Pepper, Ginger"
104,Matcha Powder,Green Tea
105,Kombucha,"Tea, Sugar, Probiotics"
105,Reishi Coffee,"Coffee, Reishi Mushroom"
105,Protein Bar,"Pea Protein, Dates, Cocoa"
105,Flax Crackers,"Flax, Salt"
106,Protein Bar,"Pea Protein, Dates, Cocoa"
106,Ashwagandha Drops,"Ashwagandha, Alcohol"
106,Reishi Coffee,"Coffee, Reishi Mushroom"
106,Vegan Jerky,"Soy, Spices"
106,Matcha Powder,Green Tea
107,Apple Cider Vinegar,"Apple, Fermented"
107,Flax Crackers,"Flax, Salt"
107,Maca Root Capsules,Maca
107,Turmeric Tea,"Turmeric, Pepper, Ginger"
108,Reishi Coffee,"Coffee, Reishi Mushroom"
108,Matcha Powder,Green Tea
109,Apple Cider Vinegar,"Apple, Fermented"
109,Chia Seeds,Chia
109,Kombucha,"Tea, Sugar, Probiotics"
109,Protein Bar,"Pea Protein, Dates, Cocoa"
109,Magnesium Gummies,"Magnesium, Citrus, Pectin"
110,Reishi Coffee,"Coffee, Reishi Mushroom"
110,Granola Clusters,"Oats, Nuts, Honey"
110,Magnesium Gummies,"Magnesium, Citrus, Pectin"
110,Protein Bar,"Pea Protein, Dates, Cocoa"
111,Maca Root Capsules,Maca
111,Matcha Powder,Green Tea
112,Flax Crackers,"Flax, Salt"
112,Reishi Coffee,"Coffee, Reishi Mushroom"
112,Protein Bar,"Pea Protein, Dates, Cocoa"
113,Granola Clusters,"Oats, Nuts, Honey"
113,Coconut Water,Coconut
113,Apple Cider Vinegar,"Apple, Fermented"
113,Maca Root Capsules,Maca
114,Flax Crackers,"Flax, Salt"
114,Granola Clusters,"Oats, Nuts, Honey"
114,Protein Bar,"Pea Protein, Dates, Cocoa"
115,Protein Bar,"Pea Protein, Dates, Cocoa"
115,Kombucha,"Tea, Sugar, Probiotics"
115,Maca Root Capsules,Maca
115,Apple Cider Vinegar,"Apple, Fermented"
116,Protein Bar,"Pea Protein, Dates, Cocoa"
116,Matcha Powder,Green Tea
116,Granola Clusters,"Oats, Nuts, Honey"
116,Vegan Jerky,"Soy, Spices"
117,Chia Seeds,Chia
117,Granola Clusters,"Oats, Nuts, Honey"
117,Ashwagandha Drops,"Ashwagandha, Alcohol"
117,Maca Root Capsules,Maca
118,Ashwagandha Drops,"Ashwagandha, Alcohol"
118,Apple Cider Vinegar,"Apple, Fermented"
118,Reishi Coffee,"Coffee, Reishi Mushroom"
118,Coconut Water,Coconut
119,Kombucha,"Tea, Sugar, Probiotics"
119,Flax Crackers,"Flax, Salt"
119,Protein Bar,"Pea Protein, Dates, Cocoa"
119,Matcha Powder,Green Tea
120,Turmeric Tea,"Turmeric, Pepper, Ginger"
120,Granola Clusters,"Oats, Nuts, Honey"
120,Reishi Coffee,"Coffee, Reishi Mushroom"
120,Matcha Powder,Green Tea
120,Vegan Jerky,"Soy, Spices"
121,Chia Seeds,Chia
121,Coconut Water,Coconut
121,Reishi Coffee,"Coffee, Reishi Mushroom"
121,Granola Clusters,"Oats, Nuts, Honey"
122,Elderberry Syrup,"Elderberry, Honey, Ginger"
122,Ashwagandha Drops,"Ashwagandha, Alcohol"
123,Flax Crackers,"Flax, Salt"
123,Kombucha,"Tea, Sugar, Probiotics"
124,Protein Bar,"Pea Protein, Dates, Cocoa"
124,Turmeric Tea,"Turmeric, Pepper, Ginger"
125,Kombucha,"Tea, Sugar, Probiotics"
125,Ashwagandha Drops,"Ashwagandha, Alcohol"
125,Maca Root Capsules,Maca
125,Vegan Jerky,"Soy, Spices"
125,Flax Crackers,"Flax, Salt"
126,Magnesium Gummies,"Magnesium, Citrus, Pectin"
126,Vegan Jerky,"Soy, Spices"
126,Matcha Powder,Green Tea
126,Chia Seeds,Chia
127,Apple Cider Vinegar,"Apple, Fermented"
127,Protein Bar,"Pea Protein, Dates, Cocoa"
127,Elderberry Syrup,"Elderberry, Honey, Ginger"
127,Vegan Jerky,"Soy, Spices"
128,Maca Root Capsules,Maca
128,Coconut Water,Coconut
128,Flax Crackers,"Flax, Salt"
129,Magnesium Gummies,"Magnesium, Citrus, Pectin"
129,Apple Cider Vinegar,"Apple, Fermented"
129,Elderberry Syrup,"Elderberry, Honey, Ginger"
130,Granola Clusters,"Oats, Nuts, Honey"
130,Vegan Jerky,"Soy, Spices"
131,Apple Cider Vinegar,"Apple, Fermented"
131,Reishi Coffee,"Coffee, Reishi Mushroom"
131,Flax Crackers,"Flax, Salt"
131,Matcha Powder,Green Tea
131,Elderberry Syrup,"Elderberry, Honey, Ginger"
132,Coconut Water,Coconut
132,Magnesium Gummies,"Magnesium, Citrus, Pectin"
133,Granola Clusters,"Oats, Nuts, Honey"
133,Reishi Coffee,"Coffee, Reishi Mushroom"
133,Ashwagandha Drops,"Ashwagandha, Alcohol"
133,Matcha Powder,Green Tea
133,Kombucha,"Tea, Sugar, Probiotics"
134,Reishi Coffee,"Coffee, Reishi Mushroom"
134,Chia Seeds,Chia
134,Vegan Jerky,"Soy, Spices"
135,Maca Root Capsules,Maca
135,Turmeric Tea,"Turmeric, Pepper, Ginger"
135,Chia Seeds,Chia
135,Granola Clusters,"Oats, Nuts, Honey"
135,Apple Cider Vinegar,"Apple, Fermented"
136,Reishi Coffee,"Coffee, Reishi Mushroom"
136,Maca Root Capsules,Maca
137,Chia Seeds,Chia
137,Apple Cider Vinegar,"Apple, Fermented"
137,Matcha Powder,Green Tea
138,Chia Seeds,Chia
138,Kombucha,"Tea, Sugar, Probiotics"
138,Magnesium Gummies,"Magnesium, Citrus, Pectin"
139,Kombucha,"Tea, Sugar, Probiotics"
139,Matcha Powder,Green Tea
140,Coconut Water,Coconut
140,Reishi Coffee,"Coffee, Reishi Mushroom"
141,Vegan Jerky,"Soy, Spices"
141,Magnesium Gummies,"Magnesium, Citrus, Pectin"
141,Elderberry Syrup,"Elderberry, Honey, Ginger"
141,Reishi Coffee,"Coffee, Reishi Mushroom"
142,Granola Clusters,"Oats, Nuts, Honey"
142,Ashwagandha Drops,"Ashwagandha, Alcohol"
142,Protein Bar,"Pea Protein, Dates, Cocoa"
142,Magnesium Gummies,"Magnesium, Citrus, Pectin"
142,Coconut Water,Coconut
143,Apple Cider Vinegar,"Apple, Fermented"
143,Kombucha,"Tea, Sugar, Probiotics"
143,Vegan Jerky,"Soy, Spices"
143,Maca Root Capsules,Maca
143,Chia Seeds,Chia
144,Flax Crackers,"Flax, Salt"
144,Maca Root Capsules,Maca
144,Ashwagandha Drops,"Ashwagandha, Alcohol"
145,Coconut Water,Coconut
145,Maca Root Capsules,Maca
145,Ashwagandha Drops,"Ashwagandha, Alcohol"
145,Turmeric Tea,"Turmeric, Pepper, Ginger"
146,Coconut Water,Coconut
146,Magnesium Gummies,"Magnesium, Citrus, Pectin"
146,Granola Clusters,"Oats, Nuts, Honey"
146,Protein Bar,"Pea Protein, Dates, Cocoa"
146,Reishi Coffee,"Coffee, Reishi Mushroom"
147,Protein Bar,"Pea Protein, Dates, Cocoa"
147,Granola Clusters,"Oats, Nuts, Honey"
147,Elderberry Syrup,"Elderberry, Honey, Ginger"
147,Coconut Water,Coconut
147,Ashwagandha Drops,"Ashwagandha, Alcohol"
148,Ashwagandha Drops,"Ashwagandha, Alcohol"
148,Elderberry Syrup,"Elderberry, Honey, Ginger"
148,Reishi Coffee,"Coffee, Reishi Mushroom"
148,Turmeric Tea,"Turmeric, Pepper, Ginger"
148,Protein Bar,"Pea Protein, Dates, Cocoa"
149,Reishi Coffee,"Coffee, Reishi Mushroom"
149,Coconut Water,Coconut
149,Vegan Jerky,"Soy, Spices"
150,Protein Bar,"Pea Protein, Dates, Cocoa"
150,Coconut Water,Coconut
151,Kombucha,"Tea, Sugar, Probiotics"
151,Turmeric Tea,"Turmeric, Pepper, Ginger"
152,Apple Cider Vinegar,"Apple, Fermented"
152,Matcha Powder,Green Tea
152,Turmeric Tea,"Turmeric, Pepper, Ginger"
152,Coconut Water,Coconut
152,Flax Crackers,"Flax, Salt"
153,Chia Seeds,Chia
153,Maca Root Capsules,Maca
153,Magnesium Gummies,"Magnesium, Citrus, Pectin"
154,Flax Crackers,"Flax, Salt"
154,Vegan Jerky,"Soy, Spices"
154,Matcha Powder,Green Tea
154,Coconut Water,Coconut
154,Granola Clusters,"Oats, Nuts, Honey"
155,Kombucha,"Tea, Sugar, Probiotics"
155,Vegan Jerky,"Soy, Spices"
156,Matcha Powder,Green Tea
156,Reishi Coffee,"Coffee, Reishi Mushroom"
156,Maca Root Capsules,Maca
157,Protein Bar,"Pea Protein, Dates, Cocoa"
157,Reishi Coffee,"Coffee, Reishi Mushroom"
157,Ashwagandha Drops,"Ashwagandha, Alcohol"
158,Flax Crackers,"Flax, Salt"
158,Granola Clusters,"Oats, Nuts, Honey"
158,Coconut Water,Coconut
158,Kombucha,"Tea, Sugar, Probiotics"
159,Apple Cider Vinegar,"Apple, Fermented"
159,Vegan Jerky,"Soy, Spices"
160,Kombucha,"Tea, Sugar, Probiotics"
160,Vegan Jerky,"Soy, Spices"
160,Reishi Coffee,"Coffee, Reishi Mushroom"
160,Elderberry Syrup,"Elderberry, Honey, Ginger"
161,Protein Bar,"Pea Protein, Dates, Cocoa"
161,Apple Cider Vinegar,"Apple, Fermented"
161,Kombucha,"Tea, Sugar, Probiotics"
162,Turmeric Tea,"Turmeric, Pepper, Ginger"
162,Vegan Jerky,"Soy, Spices"
162,Matcha Powder,Green Tea
162,Protein Bar,"Pea Protein, Dates, Cocoa"
162,Chia Seeds,Chia
163,Turmeric Tea,"Turmeric, Pepper, Ginger"
163,Ashwagandha Drops,"Ashwagandha, Alcohol"
163,Elderberry Syrup,"Elderberry, Honey, Ginger"
164,Matcha Powder,Green Tea
164,Chia Seeds,Chia
164,Protein Bar,"Pea Protein, Dates, Cocoa"
164,Granola Clusters,"Oats, Nuts, Honey"
165,Chia Seeds,Chia
165,Vegan Jerky,"Soy, Spices"
165,Coconut Water,Coconut
165,Protein Bar,"Pea Protein, Dates, Cocoa"
166,Apple Cider Vinegar,"Apple, Fermented"
166,Ashwagandha Drops,"Ashwagandha, Alcohol"
166,Reishi Coffee,"Coffee, Reishi Mushroom"
166,Magnesium Gummies,"Magnesium, Citrus, Pectin"
167,Vegan Jerky,"Soy, Spices"
167,Kombucha,"Tea, Sugar, Probiotics"
168,Reishi Coffee,"Coffee, Reishi Mushroom"
168,Apple Cider Vinegar,"Apple, Fermented"
168,Ashwagandha Drops,"Ashwagandha, Alcohol"
168,Maca Root Capsules,Maca
169,Apple Cider Vinegar,"Apple, Fermented"
169,Reishi Coffee,"Coffee, Reishi Mushroom"
169,Elderberry Syrup,"Elderberry, Honey, Ginger"
169,Flax Crackers,"Flax, Salt"
169,Maca Root Capsules,Maca
170,Kombucha,"Tea, Sugar, Probiotics"
170,Granola Clusters,"Oats, Nuts, Honey"
171,Apple Cider Vinegar,"Apple, Fermented"
171,Magnesium Gummies,"Magnesium, Citrus, Pectin"
171,Vegan Jerky,"Soy, Spices"
172,Protein Bar,"Pea Protein, Dates, Cocoa"
172,Elderberry Syrup,"Elderberry, Honey, Ginger"
